Australian Bureau of Statistics,,,,
,,,,
"Motor Vehicle Census, 2021",,,,
"Year of manufacture, Vehicle type and Vehicle Level",,,,
Counting: Vehicle Level,,,,
,,,,
Year of manufacture,Vehicle type,Counting,Count,Annotations
1999,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),2696,
1999,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),7082,
1999,Prime Movers,Vehicle Level (#),1727,
1999,Buses > 9 seats,Vehicle Level (#),1927,
1999,Tow Trucks,Vehicle Level (#),105,
1999,Fire Appliances,Vehicle Level (#),254,
1999,Trucks with Machinery Mounted,Vehicle Level (#),149,
1999,Other Non Freight Carrying Trucks,Vehicle Level (#),24,
2000,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),2922,
2000,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),7046,
2000,Prime Movers,Vehicle Level (#),1617,
2000,Buses > 9 seats,Vehicle Level (#),2355,
2000,Tow Trucks,Vehicle Level (#),100,
2000,Fire Appliances,Vehicle Level (#),190,
2000,Trucks with Machinery Mounted,Vehicle Level (#),125,
2000,Other Non Freight Carrying Trucks,Vehicle Level (#),37,
2001,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),3701,
2001,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),6781,
2001,Prime Movers,Vehicle Level (#),1583,
2001,Buses > 9 seats,Vehicle Level (#),1881,
2001,Tow Trucks,Vehicle Level (#),85,
2001,Fire Appliances,Vehicle Level (#),230,
2001,Trucks with Machinery Mounted,Vehicle Level (#),115,
2001,Other Non Freight Carrying Trucks,Vehicle Level (#),32,
2002,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),5657,
2002,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),9672,
2002,Prime Movers,Vehicle Level (#),2284,
2002,Buses > 9 seats,Vehicle Level (#),2087,
2002,Tow Trucks,Vehicle Level (#),121,
2002,Fire Appliances,Vehicle Level (#),276,
2002,Trucks with Machinery Mounted,Vehicle Level (#),154,
2002,Other Non Freight Carrying Trucks,Vehicle Level (#),50,
2003,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),4380,
2003,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),9105,
2003,Prime Movers,Vehicle Level (#),3035,
2003,Buses > 9 seats,Vehicle Level (#),2278,
2003,Tow Trucks,Vehicle Level (#),106,
2003,Fire Appliances,Vehicle Level (#),202,
2003,Trucks with Machinery Mounted,Vehicle Level (#),97,
2003,Other Non Freight Carrying Trucks,Vehicle Level (#),29,
2004,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),6100,
2004,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),12635,
2004,Prime Movers,Vehicle Level (#),3758,
2004,Buses > 9 seats,Vehicle Level (#),2183,
2004,Tow Trucks,Vehicle Level (#),142,
2004,Fire Appliances,Vehicle Level (#),313,
2004,Trucks with Machinery Mounted,Vehicle Level (#),196,
2004,Other Non Freight Carrying Trucks,Vehicle Level (#),34,
2005,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),6968,
2005,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),13157,
2005,Prime Movers,Vehicle Level (#),3959,
2005,Buses > 9 seats,Vehicle Level (#),3241,
2005,Tow Trucks,Vehicle Level (#),162,
2005,Fire Appliances,Vehicle Level (#),298,
2005,Trucks with Machinery Mounted,Vehicle Level (#),272,
2005,Other Non Freight Carrying Trucks,Vehicle Level (#),43,
2006,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),5938,
2006,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),14444,
2006,Prime Movers,Vehicle Level (#),3914,
2006,Buses > 9 seats,Vehicle Level (#),3758,
2006,Tow Trucks,Vehicle Level (#),148,
2006,Fire Appliances,Vehicle Level (#),259,
2006,Trucks with Machinery Mounted,Vehicle Level (#),340,
2006,Other Non Freight Carrying Trucks,Vehicle Level (#),63,
2007,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),6974,
2007,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),19970,
2007,Prime Movers,Vehicle Level (#),6971,
2007,Buses > 9 seats,Vehicle Level (#),4152,
2007,Tow Trucks,Vehicle Level (#),197,
2007,Fire Appliances,Vehicle Level (#),331,
2007,Trucks with Machinery Mounted,Vehicle Level (#),428,
2007,Other Non Freight Carrying Trucks,Vehicle Level (#),52,
2008,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),7377,
2008,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),14106,
2008,Prime Movers,Vehicle Level (#),3491,
2008,Buses > 9 seats,Vehicle Level (#),5523,
2008,Tow Trucks,Vehicle Level (#),197,
2008,Fire Appliances,Vehicle Level (#),317,
2008,Trucks with Machinery Mounted,Vehicle Level (#),245,
2008,Other Non Freight Carrying Trucks,Vehicle Level (#),42,
